,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation,Ring,Area_to_rooms
0,6300000.0,Secondary,Опалиха,6.0,Moscow region,1,30.6,11.1,8.5,25,25,Cosmetic,Beyond_rings,30.6
1,9000000.0,Secondary,Павшино,2.0,Moscow region,1,49.2,20.0,10.0,6,15,European-style renovation,Beyond_rings,49.2
2,11090000.0,Secondary,Мякинино,14.0,Moscow region,1,44.7,16.2,13.1,10,25,Cosmetic,Beyond_rings,44.7
3,8300000.0,Secondary,Строгино,8.0,Moscow region,1,35.1,16.0,11.0,12,33,European-style renovation,Beyond_rings,35.1
4,6450000.0,Secondary,Опалиха,6.0,Moscow region,1,37.7,15.2,4.0,5,5,Without renovation,Beyond_rings,37.7
5,7150000.0,Secondary,Опалиха,6.0,Moscow region,1,38.4,18.0,8.0,8,18,European-style renovation,Beyond_rings,38.4
6,7400000.0,Secondary,Нахабино,11.0,Moscow region,1,33.0,16.0,8.0,7,7,European-style renovation,Beyond_rings,33.0
8,7800000.0,Secondary,Красногорская,6.0,Moscow region,1,41.8,18.0,10.0,6,17,Cosmetic,Beyond_rings,41.8
10,9000000.0,Secondary,Аникеевка,17.0,Moscow region,1,44.8,15.0,10.3,5,6,European-style renovation,Beyond_rings,44.8
11,12300000.0,Secondary,Волоколамская,16.0,Moscow region,1,39.0,21.9,9.9,26,30,Designer,Beyond_rings,39.0
12,14000000.0,Secondary,Волоколамская,12.0,Moscow region,1,48.0,23.0,9.0,12,28,Designer,Beyond_rings,48.0
13,6000000.0,Secondary,Павшино,3.0,Moscow region,1,33.8,17.0,7.0,4,9,Without renovation,Beyond_rings,33.8
14,6200000.0,Secondary,Красногорская,19.0,Moscow region,1,32.7,18.0,6.0,9,9,European-style renovation,Beyond_rings,32.7
15,6300000.0,Secondary,Красногорская,19.0,Moscow region,1,32.1,18.4,9.3,2,9,Without renovation,Beyond_rings,32.1
16,6500000.0,Secondary,Опалиха,7.0,Moscow region,1,34.9,17.0,9.0,2,14,Cosmetic,Beyond_rings,34.9
17,6800000.0,Secondary,Опалиха,7.0,Moscow region,1,38.0,17.4,9.0,8,14,European-style renovation,Beyond_rings,38.0
18,7350000.0,Secondary,Опалиха,6.0,Moscow region,1,40.0,16.1,9.8,17,24,European-style renovation,Beyond_rings,40.0
